job_id,job_class,state_id,solvent_id,input_path,input_sha256,geometry_key,geometry_sha256,smd_payload_sha256,workflow_revision,method_id,thermochemistry_convention_id,nprocs,maxcore_mb_per_rank,planning_core_h,status,reason
OF021,optfreq,M022_QP1_M2,S003,runs/orca/optfreq/OF021/OF021.inp,a1d1221ce1ba4912b036ef570d5047e328345a7d6e804536271317f6c6df8b7a,tier1:redox:M022:S003:q1:m2,499c305f4537ca8adc7f0a81219c731c63ec28f27a6e9767fcd491c3ba5c8f01,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF022,optfreq,M068_Q0_M1,S003,runs/orca/optfreq/OF022/OF022.inp,7f7e5d1330663de4e87c83dc16872615abb31a80c2b52682dcb8b6d3618932b9,tier1:redox:M068:S003:q0:m1,cc6015b792872fef049f70cf95b8d07745ae6875e16cc5e95f62608e502ca1d6,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF023,optfreq,M068_QP1_M2,S003,runs/orca/optfreq/OF023/OF023.inp,4dfbf2b71c603909cebff64212fc4f83654200e736067dc17a34cb0b4d9008e9,tier1:redox:M068:S003:q1:m2,a2d111f67e5f22b5425641947ce6ceeb72353cc530e47e09de199318c0663655,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF024,optfreq,S003_Q0_M1,S003,runs/orca/optfreq/OF024/OF024.inp,bc0e4c8f4fa97a7f513099f1061b3b0b2d0c5a843db2e8823c1d39055909e83e,tier1:redox:S003:S003:q0:m1,3c5fe1ea4eda0ce2a9a31173364c910fb41cedc4d50d72f9fe540deeba6ebb8e,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF025,optfreq,S003_QP1_M2,S003,runs/orca/optfreq/OF025/OF025.inp,71d1106b031c63eae07b2e6b7385395deb8d3bad6995765782df75b830ca5b3b,tier1:redox:S003:S003:q1:m2,9af2d08bee6f95b12010ed54c007fcd7e0898518bb8928547b8909c576dcd720,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF026,optfreq,D007_QP2_M1,S004,runs/orca/optfreq/OF026/OF026.inp,da01eeabe61a0431b8b502bb4907da2584122c877e532f0cf661d37f7dab9ebd,surrogate:sigma_preopt:D007:S004:q2:m1,0efab730f80847159e2455e2bdd13bf8cad977fe8eee9f77e67ff2c9223e5b0a,fc84c6c0fdedfad4ad7162cbe466ea9adb5b8ade8ed807efe9a91b7a14935117,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,40.0,ready,
OF027,optfreq,M007_Q0_M1,S004,runs/orca/optfreq/OF027/OF027.inp,d8fa70aff4d283a5c40572cc566028ead502315450b970f9eb1a1e448a734b00,tier1:redox:M007:S004:q0:m1,94ef68e10a8cb4b558435a691383c6c3a3213b58c9019976d7ffb451f6c19d4c,fc84c6c0fdedfad4ad7162cbe466ea9adb5b8ade8ed807efe9a91b7a14935117,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF028,optfreq,M007_QP1_M2,S004,runs/orca/optfreq/OF028/OF028.inp,df7b2bb9d5183f4b773f3e0fd79a69287e9beeced6d598bdec1b56476d52983c,tier1:redox:M007:S004:q1:m2,b4eab1d36ef40e882380e69b19c3569d56ca38ea134b4c1a890e19d95a8e8506,fc84c6c0fdedfad4ad7162cbe466ea9adb5b8ade8ed807efe9a91b7a14935117,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF029,optfreq,A002_Q0_M2,S005,runs/orca/optfreq/OF029/OF029.inp,5c56f72b353ce42bd83c64f1629d11737c35301d6125fd88571fda360b77e7cb,tier1:redox:A002:S005:q0:m2,6198fbb6669a61c27219e345dd5c9edc527fc27cb67059aafbc068dab6c08971,6081598179efd9e152f2a5286000222d826f38a6215f04a8ed4e35831524afa6,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF030,optfreq,A002_QM1_M1,S005,runs/orca/optfreq/OF030/OF030.inp,edf5ec9904e5b402756396e4108fc48f2a7ac32af5e4a9c06d30a1a6de9e453f,tier1:redox:A002:S005:q-1:m1,05bc09a3989d4153258c513b04b0417700722dc59f46a659fed706b2cc3da590,6081598179efd9e152f2a5286000222d826f38a6215f04a8ed4e35831524afa6,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF031,optfreq,D058_QP2_M1,S005,runs/orca/optfreq/OF031/OF031.inp,7637d40a9d102e3d941d966bc7a149c547922281fa23d4c4991ac9ab3cf7bfb9,surrogate:sigma_preopt:D058:S005:q2:m1,7388d218b03d3f07a8d478a44558c9c4effbe5d8764a39a8cb783f1e0115711c,6081598179efd9e152f2a5286000222d826f38a6215f04a8ed4e35831524afa6,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,40.0,ready,
OF032,optfreq,M058_Q0_M1,S005,runs/orca/optfreq/OF032/OF032.inp,d708c483a44060510fb4696ffbafe67ed2dee23f741e68bffa959bf339806234,tier1:redox:M058:S005:q0:m1,9717e2b6fbb947eb41231005de2daa6efa21249973176b9b9f71d695992cfd05,6081598179efd9e152f2a5286000222d826f38a6215f04a8ed4e35831524afa6,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF033,optfreq,M058_QP1_M2,S005,runs/orca/optfreq/OF033/OF033.inp,5ff81e270934e6679b420312b611c97f3e663f25b95a99f2fdf10fa71515c8c4,tier1:redox:M058:S005:q1:m2,afe9f54d804544b9d74d38728d5e9f9d49b6779fa2b6c4bbe5522fca0d95d005,6081598179efd9e152f2a5286000222d826f38a6215f04a8ed4e35831524afa6,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF034,optfreq,D027_QP2_M1,S006,runs/orca/optfreq/OF034/OF034.inp,ba7f334d6047d6e98112fc33bed9cb2452d42a11f3d9953ddcdc1aae2d70854e,surrogate:sigma_preopt:D027:S006:q2:m1,08154c1baff99fa312303a2b0601d1d4036336cbf1dde6d3e7e2e878528004b8,f575e634b72386a2d8924dc432e7b3ddc1e226c049b4f1906ded7bfba712d698,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,40.0,ready,
OF035,optfreq,D060_QP2_M1,S006,runs/orca/optfreq/OF035/OF035.inp,be3f5ee4d01dc88ca32e65a5c574ecfeb8306096db14ec1f906e4a4c608d9409,surrogate:sigma_preopt:D060:S006:q2:m1,af26276a1e1c19e392de9ac0dcc8d1babcf10842726d5117033934e033aaf911,f575e634b72386a2d8924dc432e7b3ddc1e226c049b4f1906ded7bfba712d698,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,40.0,ready,
