parent_id,input,smiles,family,site_a_atom_index_0based,site_b_atom_index_0based,coupling_marker,coupling_smiles,coupling_atom_mapped_smiles,repeat_link_rule,link_atom_pair,topology_sha256
M035,"3,4-Diethylpyrrole",CCc1c[nH]cc1CC,Pyrroles,3,5,I,CCc1c(I)[nH]c(I)c1CC,CCc1[cH:1][nH][cH:2]c1CC,copy_i.site_b--copy_i+1.site_a,C-C,23dde4a3721d9582a8faeab07f68e779dcf140a8bc0b89919ede09a3db8eb68a
M036,"3,4-Ethylenedioxypyrrole (EDOP)",c1[nH]cc2c1OCCO2,Pyrroles,0,2,I,Ic1[nH]c(I)c2c1OCCO2,[cH:1]1[nH][cH:2]c2c1OCCO2,copy_i.site_b--copy_i+1.site_a,C-C,53590f3491c872ba47b29d0126167028f629df6e78c0a697506d6465de5fb03d
M037,"N-Methyl-3,4-ethylenedioxypyrrole (N-Me-EDOP)",Cn1cc2c(c1)OCCO2,Pyrroles,2,5,I,Cn1c(I)c2c(c1I)OCCO2,Cn1[cH:1]c2c([cH:2]1)OCCO2,copy_i.site_b--copy_i+1.site_a,C-C,0228a65a44b3bcf04d29e79202b8111a5d823fc4d26d1e4a9f45e061ed90d178
M038,Furan,c1ccoc1,Furans,2,4,I,Ic1ccc(I)o1,c1c[cH:1]o[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,08991518873f05e416fc87d0dd4d17355fb44aee6d096cb10afc321783131651
M039,3-Methylfuran,Cc1ccoc1,Furans,3,5,I,Cc1cc(I)oc1I,Cc1c[cH:1]o[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,6e15c25a1154b268a388c10ef9e89c9fe0c8c334e01eee95047fd00a7368ac59
M040,3-Ethylfuran,CCc1ccoc1,Furans,4,6,I,CCc1cc(I)oc1I,CCc1c[cH:1]o[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,7f2b1c3e4ef007f8f4051d8c501a7769c7592b2d8466b3347316b59ac134ef80
M041,3-Hexylfuran,CCCCCCc1ccoc1,Furans,8,10,I,CCCCCCc1cc(I)oc1I,CCCCCCc1c[cH:1]o[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,52c9e600a429b088ae9f81a8d241532efb2af0522411445e5556a13b4f96ddf2
M042,3-Octylfuran,CCCCCCCCc1ccoc1,Furans,10,12,I,CCCCCCCCc1cc(I)oc1I,CCCCCCCCc1c[cH:1]o[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,a602817300d5bd6ec01ca4ddb0a4ddf21f46a2f46b4592b00211fd435cd3f72f
M043,3-Methoxyfuran,COc1ccoc1,Furans,4,6,I,COc1cc(I)oc1I,COc1c[cH:1]o[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,9114b339565cdff56c22ad2c084ff137dec7ff907f95ba7df81afd6135bc58af
M044,3-Fluorofuran,Fc1ccoc1,Furans,3,5,I,Fc1cc(I)oc1I,Fc1c[cH:1]o[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,24c4d11f331331b11557f4109d2aba3124907e71cac1bd5e16ef8ee359449839
M045,"3,4-Dimethylfuran",Cc1cocc1C,Furans,2,4,I,Cc1c(I)oc(I)c1C,Cc1[cH:1]o[cH:2]c1C,copy_i.site_b--copy_i+1.site_a,C-C,ca30666f8320228bd3f83a99006bd30fcb40007a16ef3e07acaa06f36398af39
M046,"3,4-Difluorofuran",Fc1cocc1F,Furans,2,4,I,Fc1c(I)oc(I)c1F,Fc1[cH:1]o[cH:2]c1F,copy_i.site_b--copy_i+1.site_a,C-C,cf72cf0bf6c3002f64a2f3d36d28feb7fbe04439cb44099429eb75337249252d
M047,"3,4-Dimethoxyfuran",COc1cocc1OC,Furans,3,5,I,COc1c(I)oc(I)c1OC,COc1[cH:1]o[cH:2]c1OC,copy_i.site_b--copy_i+1.site_a,C-C,12b29c9b0392d8cd66b12d72961a71d3f448771ea1c3a0300cf7a5ec57bd5f9b
M048,"2,2′-Bifuran",c1coc(-c2ccco2)c1,Furans,1,7,I,Ic1ccc(-c2ccc(I)o2)o1,c1[cH:1]oc(-c2cc[cH:2]o2)c1,copy_i.site_b--copy_i+1.site_a,C-C,011aa4f3c2b27a0c8b307a0916c2470578597959c19f000dc75b819cc191b88a
M049,"2,2′:5′,2″-Terfuran",c1coc(-c2ccc(-c3ccco3)o2)c1,Furans,1,11,I,Ic1ccc(-c2ccc(-c3ccc(I)o3)o2)o1,c1[cH:1]oc(-c2ccc(-c3cc[cH:2]o3)o2)c1,copy_i.site_b--copy_i+1.site_a,C-C,08a4a1c0a48fb00656f6ca0cccdc8e2350e19cd5ea13eed620185ff68379e9db
M050,Selenophene,c1cc[se]c1,Selenophenes,2,4,I,Ic1ccc(I)[se]1,c1c[cH:1][se][cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,a4c1d521366c9792b54f0052462489c4d6e7899818a4684101fea9ad47cc16d3
M051,3-Methylselenophene,Cc1cc[se]c1,Selenophenes,3,5,I,Cc1cc(I)[se]c1I,Cc1c[cH:1][se][cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,683d7a869ff941d089e75abcea2654284a40e5e9eb5c03a002fcb51dbc47acfb
M052,3-Ethylselenophene,CCc1cc[se]c1,Selenophenes,4,6,I,CCc1cc(I)[se]c1I,CCc1c[cH:1][se][cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,aa0e3e70bac4bd6577ae889f20764893829540e380e3c6449e9d632c1747d51e
M053,3-Butylselenophene,CCCCc1cc[se]c1,Selenophenes,6,8,I,CCCCc1cc(I)[se]c1I,CCCCc1c[cH:1][se][cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,e4f68b4144aa353b1a2ddcaad2448eebab039a8537c7b21669b7fe55737bdf8f
