input,smiles,family
3-Ethylfuran hexamer (n=6),CCc1coc(-c2oc(-c3oc(-c4oc(-c5oc(-c6occc6CC)cc5CC)cc4CC)cc3CC)cc2CC)c1,Furans
3-Hexylfuran hexamer (n=6),CCCCCCc1coc(-c2oc(-c3oc(-c4oc(-c5oc(-c6occc6CCCCCC)cc5CCCCCC)cc4CCCCCC)cc3CCCCCC)cc2CCCCCC)c1,Furans
3-Octylfuran hexamer (n=6),CCCCCCCCc1coc(-c2oc(-c3oc(-c4oc(-c5oc(-c6occc6CCCCCCCC)cc5CCCCCCCC)cc4CCCCCCCC)cc3CCCCCCCC)cc2CCCCCCCC)c1,Furans
3-Methoxyfuran hexamer (n=6),COc1coc(-c2oc(-c3oc(-c4oc(-c5oc(-c6occc6OC)cc5OC)cc4OC)cc3OC)cc2OC)c1,Furans
3-Fluorofuran hexamer (n=6),Fc1coc(-c2oc(-c3oc(-c4oc(-c5oc(-c6occc6F)cc5F)cc4F)cc3F)cc2F)c1,Furans
"3,4-Dimethylfuran hexamer (n=6)",Cc1coc(-c2oc(-c3oc(-c4oc(-c5oc(-c6occ(C)c6C)c(C)c5C)c(C)c4C)c(C)c3C)c(C)c2C)c1C,Furans
"3,4-Difluorofuran hexamer (n=6)",Fc1coc(-c2oc(-c3oc(-c4oc(-c5oc(-c6occ(F)c6F)c(F)c5F)c(F)c4F)c(F)c3F)c(F)c2F)c1F,Furans
"3,4-Dimethoxyfuran hexamer (n=6)",COc1coc(-c2oc(-c3oc(-c4oc(-c5oc(-c6occ(OC)c6OC)c(OC)c5OC)c(OC)c4OC)c(OC)c3OC)c(OC)c2OC)c1OC,Furans
"2,2′-Bifuran hexamer (n=6)",c1coc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12ccco%12)o%11)o%10)o9)o8)o7)o6)o5)o4)o3)o2)c1,Furans
"2,2′:5′,2″-Terfuran hexamer (n=6)",c1coc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12ccc(-c%13ccc(-c%14ccc(-c%15ccc(-c%16ccc(-c%17ccc(-c%18ccco%18)o%17)o%16)o%15)o%14)o%13)o%12)o%11)o%10)o9)o8)o7)o6)o5)o4)o3)o2)c1,Furans
Selenophene hexamer (n=6),c1c[se]c(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc[se]6)[se]5)[se]4)[se]3)[se]2)c1,Selenophenes
3-Methylselenophene hexamer (n=6),Cc1c[se]c(-c2[se]c(-c3[se]c(-c4[se]c(-c5[se]c(-c6[se]ccc6C)cc5C)cc4C)cc3C)cc2C)c1,Selenophenes
